Table 2 
Photometric and Spectroscopic Properties of the Supernovae


SN	${\rm{\Delta }}{m}_{15}$(B)^a		Wang	Branch	${N}_{\mathrm{opt}}$ ^e	${N}_{\mathrm{IR}}$ ^f	${t}_{\mathrm{sp}}$ ^g	
2009aa	1.212(061)	normal	N	CN	22	19	 ... 	
2009ab	1.279(061)	normal	N	CN	10	7	 ... 	
2009ad	0.961(061)	normal	N	SS	12	12	 ... 	
2009ag	1.046(066)	normal	N	BL	19	18	 ... 	
2009al	0.734(087)	normal	 ... 	 ... 	16	8	13.1	
2009cz	0.762(065)	normal	N	CN	11	7	-5.1	
								
2009dc	 ... 	SC	N	SS	10	10	-8.5	
2009ds	0.796(075)	normal	HV	SS	12	7	-9.9	
2009le	1.023(036)	normal	N	BL	9	2	-4.7	
2010ae	 ... 	Iax	 ... 	 ... 	2	9	16.0	
Notes.
^a Values of ${\rm{\Delta }}{m}_{15}$(B) were determined from the template fits. In parentheses are the 1sigma uncertainties in units of 0.001 mag.
^b Type Ia subtypes from SNID (Blondin & Tonry 2007). Members of Type Iax and Ia+CSM subtypes are listed as "Iax" and "Ia+CSM," respectively; super-Chandrasekhar candidates are denoted by "SC"; SN 2006bt-like objects are listed as "06bt-like."
^c Wang et al. (2009) classification. N = normal; HV = high velocity; 91bg = SN 1991bg-like.
^d CN = core normal; CL = cool; SS = shallow silicon; BL = broad line (Branch et al. 2006).
^e Number of nights with optical photometry.
^f Number of nights with near-IR photometry.
^g Epoch of the spectrum, in days, with respect to T(${B}_{\max }$) used to determine spectral subtype. If no epoch is given, the spectral classification was taken from the literature.
