SN & zcmb & ProjDist & Mlow & Mbest & Mhigh & \\
2006an & 0.0651 & 2.62 & 7.39 & 7.68 & 7.94 & \\
2006ar & 0.0229 & 6.73 & 9.93 & 10.22 & 10.35 & \\
2006az & 0.0316 & 18.46 & 11.48 & 11.67 & 11.75 & \\
2006bd & 0.0265 & 21.49 & 10.95 & 11.23 & 11.32 & \\
2006bq & 0.0215 & 12.77 & 11.00 & 11.10 & 11.38 & \\
2006bt & 0.0325 & 16.11 & 11.23 & 11.43 & 11.52 & \\
2006bz & 0.0277 & 7.24 & 10.27 & 10.56 & 10.65 & \\
2006cc & 0.0328 & 12.09 & 10.83 & 11.04 & 11.12 & \\
2006cf & 0.0423 & 17.97 & 10.92 & 11.02 & 11.18 & \\
2006cg & 0.0288 & 5.43 & 9.94 & 10.06 & 10.33 & \\
2006cj & 0.0684 & 9.64 & 10.57 & 10.65 & 10.75 & \\
2006cp & 0.0233 & 15.15 & 10.07 & 10.39 & 10.45 & \\
2006cq & 0.0491 & 20.87 & 10.90 & 11.03 & 11.17 & \\
2006cs & 0.0241 & 10.17 & 10.89 & 11.23 & 11.28 & \\
2006ef & 0.0170 & 8.95 & 10.24 & 10.31 & 10.87 & \\
2006ej & 0.0192 & 6.25 & 10.83 & 11.16 & 11.22 & \\
2006nz & 0.0372 & 2.90 & 10.03 & 10.12 & 10.31 & \\
2006oa & 0.0589 & 8.89 & 8.80 & 8.96 & 9.09 & \\
2006ob & 0.0582 & 28.33 & 11.14 & 11.24 & 11.35 & \\
2006on & 0.0688 & 4.95 & 10.14 & 10.23 & 10.35 & \\
2006or & 0.0217 & 17.90 & 11.01 & 11.21 & 11.43 & \\
2006te & 0.0321 & 12.48 & 10.43 & 10.55 & 10.74 & \\
2007F & 0.0242 & 12.22 & 9.88 & 9.97 & 10.26 & \\
2007R & 0.0296 & 16.06 & 11.17 & 11.31 & 11.47 & \\
2007ap & 0.0162 & 7.55 & 10.24 & 10.32 & 10.87 & \\
2007ar & 0.0534 & 25.75 & 11.61 & 11.65 & 11.69 & \\
2007ba & 0.0391 & 18.99 & 11.09 & 11.19 & 11.37 & \\
2007bc & 0.0219 & 14.86 & 10.83 & 10.94 & 11.24 & \\
2007bd & 0.0320 & 14.01 & 10.68 & 10.77 & 11.01 & \\
2007bz & 0.0227 & 5.66 & 9.45 & 9.53 & 9.84 & \\
2007ci & 0.0191 & 15.42 & 10.63 & 10.72 & 11.28 & \\
2008L & 0.0187 & 7.32 & 10.18 & 10.27 & 10.82 & \\
2008af & 0.0346 & 29.23 & 11.53 & 11.76 & 11.81 & \\
2008bf & 0.0253 & 20.39 & 11.25 & 11.59 & 11.64 & 
